"pathway_id","node1_kegg_id","node1_symbol","node1_type","node1_entry_id","node2_kegg_id","node2_symbol","node2_type","node2_entry_id","relation_type","subtype_1_name","subtype_1_value","subtype_2_name","subtype_2_value","subtype_3_name","subtype_3_value","ExperimentScore","CoexpressionScore"
"hsa04727","hsa:2554 hsa:2555 hsa:2556 hsa:2557 hsa:2558 hsa:2559 hsa:2560 hsa:2561 hsa:2562 hsa:2563 hsa:2564 hsa:2565 hsa:2566 hsa:2567 hsa:2568 hsa:55879","GABRA1, DEE19, ECA4, EIEE19, EJM, EJM5...","gene",75,"hsa:10243","GPHN, GEPH, GPH, GPHRYN, HKPX1, MOCODC","gene",124,"PPrel","binding/association","---","","","","",0,0
"hsa04727","hsa:10681 hsa:2770 hsa:2771 hsa:2773 hsa:2775 hsa:2782 hsa:2783 hsa:2784 hsa:2785 hsa:2786 hsa:2787 hsa:2788 hsa:2790 hsa:2791 hsa:2792 hsa:2793 hsa:51764 hsa:54331 hsa:55970 hsa:59345 hsa:94235","GNB5, GB5, HG2E, IDDCA, LADCI, LDMLS1, LDMLS2, gbeta5...","gene",72,"hsa:107 hsa:108 hsa:109 hsa:111 hsa:112 hsa:113 hsa:114 hsa:115 hsa:196883","ADCY1, AC1, DFNB44...","gene",32,"PPrel","inhibition","--|","","","","",0,0
"hsa04727","cpd:C00334","C00334","compound",35,"hsa:2550 hsa:9568","GABBR1, GABABR1, GABBR1-3, GB1, GPRC3A, NEDLC...","gene",79,"PCrel","activation","-->","","","","",0,0
"hsa04727","cpd:C00334","C00334","compound",35,"hsa:2554 hsa:2555 hsa:2556 hsa:2557 hsa:2558 hsa:2559 hsa:2560 hsa:2561 hsa:2562 hsa:2563 hsa:2564 hsa:2565 hsa:2566 hsa:2567 hsa:2568 hsa:55879","GABRA1, DEE19, ECA4, EIEE19, EJM, EJM5...","gene",75,"PCrel","activation","-->","","","","",0,0
"hsa04727","cpd:C00334","C00334","compound",35,"hsa:200959 hsa:2569 hsa:2570","GABRR3...","gene",154,"PCrel","activation","-->","","","","",0,0
"hsa04727","cpd:C00334","C00334","compound",35,"hsa:2550 hsa:9568","GABBR1, GABABR1, GABBR1-3, GB1, GPRC3A, NEDLC...","gene",23,"PCrel","activation","-->","","","","",0,0
"hsa04728","cpd:C03758","C03758","compound",55,"hsa:1813","DRD2, D2DR, D2R","gene",159,"PCrel","activation","-->","","","","",0,0
"hsa04728","hsa:1813","DRD2, D2DR, D2R","gene",159,"hsa:6531","SLC6A3, DAT, DAT1, PKDYS, PKDYS1","gene",60,"PPrel","activation","-->","","","","",0,0
"hsa04728","cpd:C03758","C03758","compound",55,"hsa:1813","DRD2, D2DR, D2R","gene",125,"PCrel","activation","-->","","","","",0,0
"hsa04728","cpd:C03758","C03758","compound",55,"hsa:1812","DRD1, D1R, DADR, DRD1A","gene",115,"PCrel","activation","-->","","","","",0,0
"hsa04728","cpd:C03758","C03758","compound",55,"hsa:1816","DRD5, DBDR, DRD1B, DRD1L2","gene",24,"PCrel","activation","-->","","","","",0,0
"hsa04728","cpd:C03758","C03758","compound",55,"hsa:1814 hsa:1815","DRD3, D3DR, ETM1, FET1...","gene",116,"PCrel","activation","-->","","","","",0,0
"hsa04728","cpd:C03758","C03758","compound",55,"hsa:1813","DRD2, D2DR, D2R","gene",92,"PCrel","activation","-->","","","","",0,0
"hsa04728","hsa:1812","DRD1, D1R, DADR, DRD1A","gene",115,"hsa:2776","GNAQ, CMAL, CMC1, G-ALPHA-q, GAQ, SWS","gene",37,"PPrel","activation","-->","","","","",0,0
"hsa04728","hsa:2776","GNAQ, CMAL, CMC1, G-ALPHA-q, GAQ, SWS","gene",37,"hsa:23236 hsa:5330 hsa:5331 hsa:5332","PLCB1, DEE12, EIEE12, PI-PLC, PLC-154, PLC-I, PLC-beta-1, PLC154, PLCB1A, PLCB1B...","gene",38,"PPrel","activation","-->","","","","",541,60
"hsa04728","hsa:23236 hsa:5330 hsa:5331 hsa:5332","PLCB1, DEE12, EIEE12, PI-PLC, PLC-154, PLC-I, PLC-beta-1, PLC154, PLCB1A, PLCB1B...","gene",38,"cpd:C01245","C01245","compound",46,"PCrel","activation","-->","","","","",0,0
"hsa04728","cpd:C01245","C01245","compound",46,"hsa:3708 hsa:3709 hsa:3710","ITPR1, ACV, CLA4, INSP3R1, IP3R, IP3R1, PPP1R94, SCA15, SCA16, SCA29...","gene",50,"PCrel","activation","-->","","","","",0,0
"hsa04728","hsa:23236 hsa:5330 hsa:5331 hsa:5332","PLCB1, DEE12, EIEE12, PI-PLC, PLC-154, PLC-I, PLC-beta-1, PLC154, PLCB1A, PLCB1B...","gene",38,"cpd:C00165","C00165","compound",47,"PCrel","activation","-->","","","","",0,0
"hsa04728","cpd:C00076","C00076","compound",52,"hsa:163688 hsa:51806 hsa:801 hsa:805 hsa:808 hsa:810 hsa:91860","CALML6, CAGLP...","gene",179,"PCrel","activation","-->","","","","",0,0
"hsa04728","cpd:C00076","C00076","compound",52,"hsa:5578 hsa:5579 hsa:5582","PRKCA, AAG6, PKC-alpha, PKCA, PKCI+/-, PKCalpha, PRKACA...","gene",53,"PCrel","activation","-->","","","","",0,0
"hsa04728","cpd:C00165","C00165","compound",47,"hsa:5578 hsa:5579 hsa:5582","PRKCA, AAG6, PKC-alpha, PKCA, PKCI+/-, PKCalpha, PRKACA...","gene",53,"PCrel","activation","-->","","","","",0,0
"hsa04728","cpd:C00076","C00076","compound",52,"hsa:10488 hsa:1385 hsa:1386 hsa:1388 hsa:148327 hsa:468 hsa:64764 hsa:84699 hsa:90993 hsa:9586","CREB3, LUMAN, LZIP, sLZIP...","gene",103,"PCrel","activation","-->","","","","",0,0
"hsa04728","hsa:1812","DRD1, D1R, DADR, DRD1A","gene",115,"hsa:2774 hsa:2778","GNAL, DYT25, HG1O...","gene",34,"PPrel","activation","-->","","","","",0,0
"hsa04728","hsa:1816","DRD5, DBDR, DRD1B, DRD1L2","gene",24,"hsa:2776","GNAQ, CMAL, CMC1, G-ALPHA-q, GAQ, SWS","gene",37,"PPrel","activation","-->","","","","",0,0
"hsa04728","hsa:1816","DRD5, DBDR, DRD1B, DRD1L2","gene",24,"hsa:2774 hsa:2778","GNAL, DYT25, HG1O...","gene",34,"PPrel","activation","-->","","","","",0,0
"hsa04728","hsa:2774 hsa:2778","GNAL, DYT25, HG1O...","gene",34,"hsa:111","ADCY5, AC5, DSKOD, FDFM","gene",35,"PPrel","activation","-->","","","","",0,0
"hsa04728","hsa:111","ADCY5, AC5, DSKOD, FDFM","gene",35,"cpd:C00575","C00575","compound",39,"PCrel","activation","-->","","","","",0,0
"hsa04728","cpd:C00575","C00575","compound",39,"hsa:5566 hsa:5567 hsa:5568","PRKACA, CAFD1, PKACA, PPNAD4...","gene",36,"PCrel","activation","-->","","","","",0,0
"hsa04728","hsa:5566 hsa:5567 hsa:5568","PRKACA, CAFD1, PKACA, PPNAD4...","gene",36,"hsa:10488 hsa:1385 hsa:1386 hsa:1388 hsa:148327 hsa:468 hsa:64764 hsa:84699 hsa:90993 hsa:9586","CREB3, LUMAN, LZIP, sLZIP...","gene",103,"PPrel","activation","-->","phosphorylation","+p","","",0,0
"hsa04728","hsa:5566 hsa:5567 hsa:5568","PRKACA, CAFD1, PKACA, PPNAD4...","gene",36,"hsa:84152","PPP1R1B, DARPP-32, DARPP32","gene",104,"PPrel","activation","-->","phosphorylation","+p","","",0,0
"hsa04728","hsa:5566 hsa:5567 hsa:5568","PRKACA, CAFD1, PKACA, PPNAD4...","gene",36,"hsa:1432 hsa:5599 hsa:5600 hsa:5601 hsa:5602 hsa:5603 hsa:6300","MAPK14, CSBP, CSBP1, CSBP2, CSPB1, EXIP, Mxi2, PRKM14, PRKM15, RK, SAPK2A, p38, p38ALPHA...","gene",105,"PPrel","activation","-->","indirect effect","..>","","",0,0
"hsa04728","hsa:5578 hsa:5579 hsa:5582","PRKCA, AAG6, PKC-alpha, PKCA, PKCI+/-, PKCalpha, PRKACA...","gene",53,"hsa:2353","FOS, AP-1, C-FOS, p55","gene",123,"PPrel","activation","-->","","","","",0,0
"hsa04728","hsa:1432 hsa:5599 hsa:5600 hsa:5601 hsa:5602 hsa:5603 hsa:6300","MAPK14, CSBP, CSBP1, CSBP2, CSPB1, EXIP, Mxi2, PRKM14, PRKM15, RK, SAPK2A, p38, p38ALPHA...","gene",105,"hsa:2353","FOS, AP-1, C-FOS, p55","gene",123,"PPrel","activation","-->","","","","",0,0
"hsa04728","hsa:163688 hsa:51806 hsa:801 hsa:805 hsa:808 hsa:810 hsa:91860","CALML6, CAGLP...","gene",179,"hsa:5530 hsa:5532 hsa:5533","PPP3CA, ACCIID, CALN, CALNA, CALNA1, CCN1, CNA1, DEE91, IECEE, IECEE1, PPP2B...","gene",145,"PPrel","activation","-->","","","","",0,0
"hsa04728","hsa:84152","PPP1R1B, DARPP-32, DARPP32","gene",104,"hsa:5499 hsa:5500 hsa:5501","PPP1CA, PP-1A, PP1A, PP1alpha, PPP1A...","gene",153,"PPrel","inhibition","--|","","","","",0,0
"hsa04728","hsa:5530 hsa:5532 hsa:5533","PPP3CA, ACCIID, CALN, CALNA, CALNA1, CCN1, CNA1, DEE91, IECEE, IECEE1, PPP2B...","gene",145,"hsa:84152","PPP1R1B, DARPP-32, DARPP32","gene",104,"PPrel","inhibition","--|","dephosphorylation","-p","","",0,0
"hsa04728","hsa:5499 hsa:5500 hsa:5501","PPP1CA, PP-1A, PP1A, PP1alpha, PPP1A...","gene",153,"hsa:775 hsa:776","CACNA1C, CACH2, CACN2, CACNA1C-IT2, CACNL1A1, CCHL1A1, CaV1.2, LQT8, NEDHLSS, TS, TS._LQT8...","gene",181,"PPrel","inhibition","--|","dephosphorylation","-p","","",0,0
"hsa04728","hsa:5530 hsa:5532 hsa:5533","PPP3CA, ACCIID, CALN, CALNA, CALNA1, CCN1, CNA1, DEE91, IECEE, IECEE1, PPP2B...","gene",145,"hsa:775 hsa:776","CACNA1C, CACH2, CACN2, CACNA1C-IT2, CACNL1A1, CCHL1A1, CaV1.2, LQT8, NEDHLSS, TS, TS._LQT8...","gene",181,"PPrel","inhibition","--|","dephosphorylation","-p","","",0,0
"hsa04728","hsa:5499 hsa:5500 hsa:5501","PPP1CA, PP-1A, PP1A, PP1alpha, PPP1A...","gene",153,"hsa:2903 hsa:2904","GRIN2A, EPND, FESD, GluN2A, LKS, NMDAR2A, NR2A...","gene",196,"PPrel","inhibition","--|","dephosphorylation","-p","","",0,0
